date,region,product,segment,sales_rep,revenue,units_sold,discount_pct,cost,profit,profit_margin
2023-01-10,North,Product B,Government,Rep_9,2236.96,6,9.1,1312.07,924.89,41.35
2023-01-10,West,Product E,SMB,Rep_10,2058.91,3,13.0,1143.42,915.49,44.46
2023-01-10,North,Product A,Government,Rep_7,4925.67,10,11.1,3235.33,1690.34,34.32
2023-01-10,East,Product E,SMB,Rep_2,2795.16,6,17.8,1502.7,1292.46,46.24
2023-01-10,Central,Product E,Startup,Rep_8,6212.18,12,2.9,3730.94,2481.24,39.94
2023-01-10,Central,Product B,Government,Rep_8,9766.81,18,10.0,6034.04,3732.77,38.22
2023-01-10,East,Product D,Startup,Rep_5,4552.5,8,1.7,2919.55,1632.95,35.87
2023-01-10,North,Product D,Enterprise,Rep_6,9448.77,22,14.0,4968.34,4480.43,47.42
2023-01-10,North,Product D,Startup,Rep_7,10485.75,17,15.0,5566.66,4919.09,46.91
2023-01-11,Central,Product B,SMB,Rep_8,3210.57,6,9.2,2007.89,1202.68,37.46
2023-01-11,Central,Product B,Government,Rep_9,11895.2,27,16.1,5424.67,6470.53,54.4
2023-01-11,East,Product A,SMB,Rep_5,7769.79,25,0.2,5050.9,2718.89,34.99
2023-01-11,Central,Product D,Enterprise,Rep_3,9829.1,51,13.3,5273.56,4555.54,46.35
2023-01-11,West,Product C,SMB,Rep_6,4243.13,7,14.9,2771.48,1471.65,34.68
2023-01-11,South,Product B,Enterprise,Rep_2,4297.82,11,11.1,2204.04,2093.78,48.72
2023-01-11,Central,Product A,Startup,Rep_7,2683.62,6,13.2,1398.0,1285.62,47.91
2023-01-11,South,Product D,Enterprise,Rep_1,3908.02,7,19.1,2018.78,1889.24,48.34
2023-01-11,North,Product A,Government,Rep_7,3057.05,6,12.5,1961.62,1095.43,35.83
2023-01-11,East,Product A,Government,Rep_1,5609.35,30,7.8,3078.05,2531.3,45.13
2023-01-11,West,Product D,Startup,Rep_2,6129.95,26,23.7,3407.16,2722.79,44.42
2023-01-11,East,Product A,Government,Rep_2,3923.59,10,9.9,2045.62,1877.97,47.86
2023-01-11,East,Product B,Startup,Rep_3,2303.89,5,4.8,1448.07,855.82,37.15
2023-01-11,East,Product B,SMB,Rep_2,2627.12,6,19.0,1578.29,1048.83,39.92
2023-01-11,South,Product D,Government,Rep_10,8657.53,15,14.1,5160.91,3496.62,40.39
2023-01-11,Central,Product C,Startup,Rep_3,5658.75,13,19.9,3316.18,2342.57,41.4
2023-01-11,East,Product E,Enterprise,Rep_5,5101.81,16,7.2,3052.28,2049.53,40.17
2023-01-12,Central,Product E,Government,Rep_8,8027.29,16,1.0,5290.64,2736.65,34.09
2023-01-12,Central,Product B,Startup,Rep_10,5422.69,30,2.6,3561.62,1861.07,34.32
2023-01-12,East,Product A,SMB,Rep_1,3792.14,10,13.1,1844.92,1947.22,51.35
2023-01-12,East,Product C,Government,Rep_7,9412.08,54,15.8,4959.88,4452.2,47.3
2023-01-12,East,Product A,Government,Rep_5,4317.1,7,15.1,2092.01,2225.09,51.54
2023-01-12,North,Product E,SMB,Rep_6,4674.65,10,3.2,2865.71,1808.94,38.7
2023-01-12,North,Product C,Government,Rep_6,9780.15,18,18.5,5942.86,3837.29,39.24
2023-01-12,Central,Product A,Government,Rep_9,4757.54,20,5.4,3177.86,1579.68,33.2
2023-01-12,West,Product B,SMB,Rep_3,2789.31,5,12.7,1601.47,1187.84,42.59
2023-01-13,North,Product C,SMB,Rep_10,4588.07,8,19.3,2918.38,1669.69,36.39
2023-01-13,South,Product D,Enterprise,Rep_7,5314.3,9,15.3,3311.07,2003.23,37.7
2023-01-13,West,Product B,SMB,Rep_5,11690.8,20,4.9,7084.75,4606.05,39.4
2023-01-13,Central,Product D,Government,Rep_5,8975.7,26,4.1,4451.32,4524.38,50.41
2023-01-13,Central,Product B,Startup,Rep_1,8508.74,21,2.6,5484.35,3024.39,35.54
2023-01-13,North,Product C,Enterprise,Rep_3,4604.49,21,10.9,3074.3,1530.19,33.23
2023-01-13,South,Product D,Startup,Rep_1,5302.73,16,9.7,2485.76,2816.97,53.12
2023-01-13,South,Product A,Startup,Rep_2,9985.24,19,3.4,5152.21,4833.03,48.4
2023-01-13,West,Product B,Government,Rep_8,8302.77,52,5.4,4021.77,4281.0,51.56
2023-01-13,Central,Product E,Government,Rep_2,8244.74,40,6.0,4921.77,3322.97,40.3
2023-01-13,Central,Product D,Enterprise,Rep_2,9530.92,24,15.8,5549.48,3981.44,41.77
2023-01-13,South,Product C,Government,Rep_1,6820.72,20,16.6,3203.63,3617.09,53.03
2023-01-13,East,Product A,Enterprise,Rep_7,8530.5,26,9.3,5304.97,3225.53,37.81
2023-01-13,East,Product A,Startup,Rep_4,8861.44,17,18.4,4665.36,4196.08,47.35
2023-01-13,North,Product C,Startup,Rep_3,9995.48,16,12.0,4917.02,5078.46,50.81
2023-01-13,South,Product A,Government,Rep_1,3714.99,15,1.0,2469.26,1245.73,33.53
2023-01-14,West,Product E,Government,Rep_5,1913.54,6,21.6,882.13,1031.41,53.9
2023-01-14,East,Product C,Enterprise,Rep_6,5514.44,15,23.9,2911.51,2602.93,47.2
2023-01-14,South,Product D,Government,Rep_6,10434.56,20,18.2,4884.97,5549.59,53.18
2023-01-14,Central,Product B,Startup,Rep_6,2340.24,8,11.1,1439.39,900.85,38.49
2023-01-14,South,Product D,Startup,Rep_8,2097.53,6,25.0,1076.34,1021.19,48.69
2023-01-14,North,Product A,Government,Rep_6,6898.68,31,0.8,4450.99,2447.69,35.48
2023-01-14,West,Product A,SMB,Rep_2,3914.61,12,23.7,1790.73,2123.88,54.26
2023-01-14,South,Product D,Startup,Rep_6,5022.04,23,9.2,2623.05,2398.99,47.77
2023-01-14,East,Product B,Enterprise,Rep_1,8556.96,26,14.0,4365.83,4191.13,48.98
2023-01-14,East,Product D,SMB,Rep_10,4756.65,12,3.1,3073.51,1683.14,35.38
2023-01-14,West,Product B,Government,Rep_2,10581.18,17,16.7,6488.32,4092.86,38.68
2023-01-14,Central,Product E,Startup,Rep_5,10287.24,18,15.9,6507.2,3780.04,36.74
2023-01-14,Central,Product B,Enterprise,Rep_4,8383.17,22,9.0,4875.85,3507.32,41.84
2023-01-14,West,Product E,SMB,Rep_10,8687.72,26,17.9,4865.93,3821.79,43.99
2023-01-14,West,Product D,Enterprise,Rep_3,11299.87,32,17.0,5980.33,5319.54,47.08
2023-01-14,Central,Product E,SMB,Rep_3,6338.58,36,3.1,3075.44,3263.14,51.48
2023-01-15,South,Product C,SMB,Rep_6,10657.62,38,2.0,5277.11,5380.51,50.49
2023-01-15,Central,Product C,SMB,Rep_5,6491.02,14,14.8,3787.83,2703.19,41.65
2023-01-15,South,Product E,Startup,Rep_10,2081.6,11,23.7,1305.86,775.74,37.27
2023-01-15,East,Product B,Government,Rep_10,7624.59,17,7.2,5108.7,2515.89,33.0
2023-01-15,West,Product B,Government,Rep_5,6175.33,27,10.4,3438.56,2736.77,44.32
2023-01-15,East,Product E,SMB,Rep_6,9240.44,15,8.6,5005.59,4234.85,45.83
2023-01-15,East,Product E,Enterprise,Rep_6,3375.45,9,3.5,1558.24,1817.21,53.84
2023-01-15,West,Product E,Government,Rep_4,12040.54,23,23.3,7415.28,4625.26,38.41
2023-01-15,South,Product B,Government,Rep_9,6651.5,17,2.3,3594.77,3056.73,45.96
2023-01-15,West,Product B,SMB,Rep_10,4218.63,11,22.1,2533.2,1685.43,39.95
2023-01-16,East,Product E,Enterprise,Rep_2,6272.61,13,19.1,3350.61,2922.0,46.58
2023-01-16,West,Product A,SMB,Rep_6,5933.29,15,19.1,3051.7,2881.59,48.57
2023-01-16,Central,Product E,Enterprise,Rep_3,10517.36,20,8.5,7004.12,3513.24,33.4
2023-01-16,South,Product B,Government,Rep_9,1609.38,3,20.1,916.46,692.92,43.06
2023-01-16,South,Product E,SMB,Rep_6,9873.98,30,15.4,6356.85,3517.13,35.62
2023-01-16,Central,Product C,Government,Rep_10,4778.6,15,16.8,3227.35,1551.25,32.46
2023-01-16,Central,Product C,Enterprise,Rep_10,6894.46,13,19.4,4018.48,2875.98,41.71
2023-01-16,North,Product E,Government,Rep_3,6957.76,13,9.5,4445.88,2511.88,36.1
2023-01-16,South,Product A,Enterprise,Rep_4,1569.68,7,17.3,854.51,715.17,45.56
2023-01-16,Central,Product D,Enterprise,Rep_3,6589.62,10,12.0,3536.45,3053.17,46.33
2023-01-16,South,Product D,Startup,Rep_9,5288.48,11,16.1,3223.13,2065.35,39.05
2023-01-16,Central,Product D,SMB,Rep_4,3913.34,6,24.6,2455.11,1458.23,37.26
2023-01-16,South,Product D,Startup,Rep_8,5466.05,10,6.8,2612.94,2853.11,52.2
2023-01-16,Central,Product D,Government,Rep_6,11640.83,41,7.2,7150.41,4490.42,38.57
2023-01-16,East,Product D,Startup,Rep_8,3887.71,14,14.1,1992.35,1895.36,48.75
2023-01-17,Central,Product E,SMB,Rep_4,2208.2,8,5.8,1044.58,1163.62,52.7
2023-01-17,East,Product D,Enterprise,Rep_3,1553.36,2,10.2,1033.07,520.29,33.49
2023-01-17,West,Product D,SMB,Rep_5,4770.88,8,2.2,2776.89,1993.99,41.8
2023-01-17,Central,Product A,SMB,Rep_7,9000.09,15,24.9,4871.83,4128.26,45.87
2023-01-17,West,Product B,Startup,Rep_1,1601.56,8,24.6,825.52,776.04,48.46
2023-01-17,Central,Product E,Government,Rep_3,9576.94,40,2.8,4667.55,4909.39,51.26
2023-01-17,West,Product C,SMB,Rep_1,9315.92,22,18.9,4568.19,4747.73,50.96
2023-01-17,West,Product D,Startup,Rep_2,4689.53,7,11.9,3119.66,1569.87,33.48
2023-01-17,North,Product C,Government,Rep_4,5375.13,18,14.6,3127.05,2248.08,41.82
2023-01-18,East,Product B,Enterprise,Rep_2,5350.36,11,23.1,3500.18,1850.18,34.58
2023-01-18,East,Product A,Startup,Rep_6,6771.54,32,3.8,4211.76,2559.78,37.8
2023-01-18,Central,Product C,Government,Rep_9,11056.19,21,20.6,6912.64,4143.55,37.48
2023-01-18,Central,Product A,Government,Rep_9,7207.88,17,1.5,4151.45,3056.43,42.4
2023-01-18,Central,Product B,SMB,Rep_3,4666.0,23,5.1,2725.52,1940.48,41.59
2023-01-18,North,Product E,Government,Rep_1,5866.76,16,1.4,3263.95,2602.81,44.37
2023-01-18,East,Product A,Government,Rep_5,10025.21,24,1.1,5305.76,4719.45,47.08
2023-01-18,North,Product E,Enterprise,Rep_2,10877.58,38,4.5,5233.73,5643.85,51.89
2023-01-18,West,Product C,Government,Rep_8,11050.1,34,17.1,6654.51,4395.59,39.78
2023-01-18,Central,Product B,Startup,Rep_2,3233.49,8,18.2,1620.69,1612.8,49.88
2023-01-18,North,Product A,Startup,Rep_8,8067.29,20,20.6,4089.53,3977.76,49.31
2023-01-18,East,Product B,Startup,Rep_4,11209.48,55,20.2,6125.14,5084.34,45.36
2023-01-19,South,Product B,Enterprise,Rep_2,7080.0,15,21.8,3584.53,3495.47,49.37
2023-01-19,North,Product D,Government,Rep_4,7183.57,14,3.5,4874.06,2309.51,32.15
2023-01-19,South,Product E,Startup,Rep_10,7608.27,25,7.5,3674.41,3933.86,51.71
2023-01-19,Central,Product B,Government,Rep_5,4198.29,10,18.4,2058.34,2139.95,50.97
2023-01-19,West,Product E,Government,Rep_1,12271.79,27,19.6,6421.94,5849.85,47.67
2023-01-19,West,Product D,SMB,Rep_5,5492.35,15,21.2,2851.46,2640.89,48.08
2023-01-19,South,Product D,Enterprise,Rep_9,5314.83,13,9.7,2703.38,2611.45,49.14
2023-01-19,East,Product A,Government,Rep_6,2529.81,10,6.7,1530.39,999.42,39.51
2023-01-20,North,Product A,SMB,Rep_10,8599.2,23,21.7,4528.18,4071.02,47.34
2023-01-20,North,Product B,SMB,Rep_2,9328.53,16,17.4,5707.82,3620.71,38.81
2023-01-20,West,Product B,Startup,Rep_5,5195.22,16,6.5,2950.61,2244.61,43.21
2023-01-20,West,Product D,Enterprise,Rep_8,8334.08,34,7.8,3837.97,4496.11,53.95
2023-01-20,South,Product B,Enterprise,Rep_5,6976.17,14,7.4,3454.07,3522.1,50.49
2023-01-20,South,Product D,SMB,Rep_8,7680.81,25,19.1,4319.56,3361.25,43.76
2023-01-20,West,Product D,SMB,Rep_6,3314.64,8,22.9,1904.9,1409.74,42.53
2023-01-20,North,Product E,Enterprise,Rep_2,11109.15,22,10.3,7151.91,3957.24,35.62
2023-01-20,South,Product A,SMB,Rep_1,3537.7,19,15.9,2351.86,1185.84,33.52
2023-01-20,West,Product D,Enterprise,Rep_1,6426.01,40,18.1,3683.52,2742.49,42.68
2023-01-20,East,Product A,Government,Rep_3,2206.16,10,4.8,1259.9,946.26,42.89
2023-01-20,East,Product C,Government,Rep_2,4927.14,12,24.8,2473.16,2453.98,49.81
2023-01-20,North,Product A,Enterprise,Rep_7,5210.96,29,0.2,2550.34,2660.62,51.06
2023-01-20,West,Product D,Startup,Rep_10,12432.02,22,23.0,6251.4,6180.62,49.72
2023-01-20,Central,Product D,Startup,Rep_1,10947.04,39,13.6,6583.17,4363.87,39.86
2023-01-20,South,Product C,Enterprise,Rep_4,7668.65,16,10.0,3586.59,4082.06,53.23
2023-01-20,South,Product E,SMB,Rep_10,9195.51,16,8.3,5736.07,3459.44,37.62
2023-01-21,North,Product E,Startup,Rep_1,2225.87,12,15.1,1315.91,909.96,40.88
2023-01-21,Central,Product D,Startup,Rep_1,8227.21,23,5.7,4748.73,3478.48,42.28
2023-01-21,West,Product D,SMB,Rep_10,6863.54,16,20.0,4214.32,2649.22,38.6
2023-01-21,North,Product C,SMB,Rep_7,8663.06,17,7.9,4110.68,4552.38,52.55
2023-01-21,North,Product C,Government,Rep_6,7755.56,40,10.8,4483.54,3272.02,42.19
2023-01-21,Central,Product D,Enterprise,Rep_1,2380.85,5,19.6,1544.35,836.5,35.13
2023-01-21,North,Product C,Government,Rep_7,9583.53,23,24.8,4847.64,4735.89,49.42
2023-01-21,Central,Product B,Government,Rep_3,2648.35,7,1.6,1456.53,1191.82,45.0
2023-01-21,West,Product C,Government,Rep_2,5615.69,11,12.4,3323.56,2292.13,40.82
2023-01-21,West,Product A,SMB,Rep_5,1497.14,2,9.5,970.6,526.54,35.17
2023-01-22,East,Product D,SMB,Rep_5,5178.67,21,7.9,3479.3,1699.37,32.81
2023-01-22,East,Product C,Government,Rep_10,8534.57,30,19.6,4557.06,3977.51,46.6
2023-01-22,Central,Product B,SMB,Rep_9,1857.95,3,5.2,1176.95,681.0,36.65
2023-01-22,North,Product D,Government,Rep_3,6988.43,15,17.9,4413.11,2575.32,36.85
2023-01-22,North,Product D,Government,Rep_10,5347.72,9,17.3,3075.14,2272.58,42.5
2023-01-22,East,Product E,Enterprise,Rep_2,9299.48,30,16.2,4279.51,5019.97,53.98
2023-01-22,West,Product C,Government,Rep_2,1467.39,3,13.0,856.25,611.14,41.65
2023-01-22,Central,Product B,Government,Rep_6,5672.53,13,12.5,3002.71,2669.82,47.07
2023-01-22,North,Product D,Enterprise,Rep_5,6242.62,30,23.5,3012.6,3230.02,51.74
2023-01-22,East,Product C,Government,Rep_4,6199.23,31,18.0,3434.76,2764.47,44.59
2023-01-22,North,Product C,Enterprise,Rep_2,1617.79,8,20.0,1074.02,543.77,33.61
2023-01-22,South,Product E,SMB,Rep_9,3075.54,5,5.8,1670.51,1405.03,45.68
2023-01-22,South,Product B,Government,Rep_7,1821.58,7,14.8,982.62,838.96,46.06
2023-01-22,South,Product B,Startup,Rep_2,7668.1,19,9.1,3798.22,3869.88,50.47
2023-01-22,North,Product C,Government,Rep_9,10171.75,31,9.8,4844.53,5327.22,52.37
2023-01-23,West,Product E,SMB,Rep_5,10599.58,23,7.8,5351.43,5248.15,49.51
2023-01-23,North,Product B,Startup,Rep_3,6238.92,29,9.6,3074.06,3164.86,50.73
2023-01-23,Central,Product B,SMB,Rep_8,3859.84,7,15.5,2505.31,1354.53,35.09
2023-01-23,North,Product D,SMB,Rep_4,10622.34,28,12.4,6452.86,4169.48,39.25
